11:29:13:841 -> �ѥ��� Round:0
11:29:13:841 -> Serial, Testing, Round:0
11:29:13:843 -> Serial, Testing, Round:0
11:29:13:846 -> Serial, Testing, Round:0
11:29:13:846 -> Serial, Testing, Round:0
11:29:13:849 -> Serial, Testing, Round:0
11:29:13:852 -> Serial, Testing, Round:0
11:29:13:854 -> Serial, Testing, Round:0
11:29:13:857 -> Serial, Testing, Round:0
11:29:13:860 -> Serial, Testing, Round:0
11:29:13:860 -> Serial, Testing, Round:0
11:29:13:863 -> Serial, Testing, Round:0
11:29:13:866 -> Serial, Testing, R
11:29:13:871 -> Serial, Testing, Round:0
11:29:13:871 -> Seriound:0
11:29:13:868 -> Serial, Testing, Round:0al, Testing, Round:0
11:29:13:874 -> Serial, Testing, Round:0
11:29:13:877 -> Serial, Testing, Round:0
11:29:13:879 -> Serial, Testing, Round:0
11:29:13:882 -> Serial, Testing, Round:0
11:29:13:882 -> Serial, Testing, Round:0
11:29:13:885 -> Serial, Testing, Round:0
11:29:13:888 -> Serial, Testing, Round:0
11:29:13:891 -> Serial, Testing, Round:0
11:29:13:894 -> Serial, Testing, Round:0
11:29:13:896 -> Serial, Testing, Round:0
11:29:13:896 -> Serial, Testing, Round:0
11:29:13:899 -> Serial, Testing, Round:0
11:29:13:902 -> Serial, Testing, Round:0
11:29:13:904 -> Serial, Testing, Round:0
11:29:13:907 -> Serial, Testing, Round:0
11:29:13:907 -> Serial, Testing, Round:0
11:29:13:910 -> Serial, Testing, Round:0
11:29:13:913 -> Serial, Testing, Round:0
11:29:13:915 -> Serial, Testing, Round:0
11:29:13:918 -> Serial, Testing, Round:0
11:29:13:918 -> Serial, Testing, Round:0
11:29:13:921 -> Serial, Testing, Round:0
11:29:13:924 -> Serial, Testing, Round:0
11:29:13:942 -> Serial, Testing, Round:0
11:29:13:942 -> Serial, Testing, Round:0
11:29:13:942 -> Serial, Testing, Round:0
11:29:13:942 -> Serial, Testing, Round:0
11:29:13:942 -> Serial, Testing, Round:0
11:29:13:942 -> Serial, Testing, Round:0
11:29:13:942 -> Serial, Testing, Round:0
11:29:13:943 -> Serial, Testing, Round:0
11:29:13:943 -> Serial, Testing, Round:0
11:29:13:946 -> Serial, Testing, Round:0
11:29:13:949 -> Serial, Testing, Round:0
11:29:13:952 -> Serial, Testing, Round:0
11:29:13:954 -> Serial, Testing, Round:0
11:29:13:954 -> Serial, Testing, Round:0
11:29:13:957 -> Serial, Testing, Round:0
11:29:13:960 -> Serial, Testing, Round:0
11:29:13:963 -> Serial, Testing, Round:0
11:29:13:966 -> Serial, Testing, Round:0
11:29:13:968 -> Serial, Testing, Round:0
11:29:13:968 -> Serial, Testing, Round:0
11:29:13:971 -> Serial, Testing, Round:0
11:29:13:974 -> Serial, Testing, Round:0
11:29:13:977 -> Serial, Testing, Round:0
11:29:13:979 -> Serial, Testing, Round:0
11:29:13:979 -> Serial, Testing, Round:0
11:29:13:982 -> Serial, Testing, Round:0
11:29:13:985 -> Serial, Testing, Round:0
11:29:13:988 -> Serial, Testing, Round:0
11:29:13:991 -> Serial, Testing, Round:0
11:29:13:991 -> Serial, Testing, Round:0
11:29:13:993 -> Serial, Testing, Round:0
11:29:13:996 -> Serial, Testing, Round:0
11:29:13:999 -> Serial, Testing, Round:0
11:29:14:002 -> Serial, Testing, Round:0
11:29:14:004 -> Serial, Testing, Round:0
11:29:14:004 -> Serial, Testing, Round:0
11:29:14:007 -> Serial, Testing, Round:0
11:29:14:010 -> Serial, Testing, Round:0
11:29:14:013 -> Serial, Testing, Round:0
11:29:14:016 -> Serial, Testing, Round:0
11:29:14:016 -> Serial, Testing, Round:0
11:29:14:020 -> Serial, Testing, Round:0
11:29:14:021 -> Serial, Testing, Round:0
11:29:14:024 -> Serial, Testing, Round:0
11:29:14:027 -> Serial, Testing, Round:0
11:29:14:027 -> Serial, Testing, Round:0
11:29:14:029 -> Serial, Testing, Round:0
11:29:14:032 -> Serial, Testing, Round:0
11:29:14:035 -> Serial, Testing, Round:0
11:29:14:038 -> Serial, Testing, Round:0
11:29:14:041 -> Serial, Testing, Round:0
11:29:14:041 -> Serial, Testing, Round:0
11:29:14:044 -> Serial, Testing, Round:0
