11:29:46:479 -> ����� Round:859
11:29:46:479 -> Serial, Testing, Round:860
11:29:46:482 -> Serial, Testing, Round:861
11:29:46:485 -> Serial, Testing, Round:862
11:29:46:487 -> Serial, Testing, Round:863
11:29:46:490 -> Serial, Testing, Round:864
11:29:46:490 -> Ser Testing, Round:866
11:29:46:496 -> Serial, Testing, Round:867
11:29:46:498 -> Serial, Testingial, Testing, Round:865
11:29:46:493 -> Serial,, Round:868
11:29:46:501 -> Serial, Testing, Round:869
11:29:46:504 -> Serial, Testing, Round:870
11:29:46:506 -> Serial, Testing, Round:871
11:29:46:509 -> Serial, Testing, Round:872
11:29:46:509 -> Serial, Testing, Round:873
11:29:46:512 -> Serial, Testing, Round:874
11:29:46:515 -> Serial, Testing, Round:875
11:29:46:518 -> Serial, Testing, Round:876
11:29:46:521 -> Serial, Testing, Round:877
11:29:46:523 -> Serial, Testing, Round:878
11:29:46:526 -> Serial, Testing, Round:879
11:29:46:529 -> Serial, Testing, Round:880
11:29:46:529 -> Serial, Testing, Round:881
11:29:46:532 -> Serial, Testing, Round:882
11:29:46:534 -> Serial, Testing, Round:883
11:29:46:537 -> Serial, Testing, Round:884
11:29:46:540 -> Serial, Testing, Round:885
11:29:46:543 -> Serial, Testing, Round:886
11:29:46:545 -> Serial, Testing, Round:887
11:29:46:548 -> Serial, Testing, Round:888
11:29:46:548 -> Serial, Testing, Round:889
11:29:46:551 -> Serial, Testing, Round:890
11:29:46:554 -> Serial, Testing, Round:891
11:29:46:557 -> Serial, Testing, Round:892
11:29:46:560 -> Serial, Testing, Round:893
11:29:46:562 -> Serial, Testing, Round:894
11:29:46:565 -> Serial, Testing, Round:895
11:29:46:568 -> Serial, Testing, Round:896
11:29:46:568 -> Serial, Testing, Round:897
11:29:46:571 -> Serial, Testing, Round:898
11:29:46:573 -> Serial, Testing, Round:899
11:29:46:576 -> Serial, Testing, Round:900
11:29:46:579 -> Serial, Testing, Round:901
11:29:46:582 -> Serial, Testing, Round:902
11:29:46:584 -> Serial, Testing, Round:903
11:29:46:587 -> Serial, Testing, Round:904
11:29:46:587 -> Serial, Testing, Round:905
11:29:46:590 -> Serial, Testing, Round:906
11:29:46:593 -> Serial, Testing, Round:907
11:29:46:595 -> Serial, Testing, Round:908
11:29:46:598 -> Serial, Testing, Round:909
11:29:46:601 -> Serial, Testing, Round:910
11:29:46:604 -> Serial, Testing, Round:911
11:29:46:606 -> Serial, Testing, Round:912
11:29:46:606 -> Serial, Testing, Round:913
11:29:46:610 -> Serial, Testing, Round:914
11:29:46:612 -> Serial, Testing, Round:915
11:29:46:615 -> Serial, Testing, Round:916
11:29:46:618 -> Serial, Testing, Round:917
11:29:46:621 -> Serial, Testing, Round:918
11:29:46:623 -> Serial, Testing, Round:919
11:29:46:626 -> Serial, Testing, Round:920
11:29:46:626 -> Serial, Testing, Round:921
11:29:46:629 -> Serial, Testing, Round:922
11:29:46:631 -> Serial, Testing, Round:923
11:29:46:634 -> Serial, Testing, Round:924
11:29:46:637 -> Serial, Testing, Round:925
11:29:46:640 -> Serial, Testing, Round:926
11:29:46:643 -> Serial, Testing, Round:927
11:29:46:645 -> Serial, Testing, Round:928
11:29:46:645 -> Serial, Testing, Round:929
11:29:46:648 -> Serial, Testing, Round:930
11:29:46:651 -> Serial, Testing, Round:931
11:29:46:654 -> Serial, Testing, Round:932
11:29:46:657 -> Serial, Testing, Round:933
11:29:46:660 -> Serial, Testing, Round:934
11:29:46:662 -> Serial, Testing, Round:935
11:29:46:665 -> Serial, Testing, Round:936
11:29:46:665 -> Serial, Testing, Round:937
11:29:46:668 -> Serial, Testing, Round:938
11:29:46:671 -> Serial, Testing, Round:939
11:29:46:673 -> Serial, Testing, Round:940
11:29:46:676 -> Serial, Testing, Round:941
11:29:46:679 -> Serial, Testing, Round:942
11:29:46:682 -> Serial, Testing, Round:943
11:29:46:685 -> Serial, Testing, Round:944
11:29:46:685 -> Serial, Testing, Round:945
11:29:46:688 -> Serial, Testing, Round:946
11:29:46:691 -> Serial, Testing, Round:947
11:29:46:693 -> Serial, Testing, Round:948
11:29:46:696 -> Serial, Testing, Round:949
11:29:46:699 -> Serial, Testing, Round:950
11:29:46:701 -> Serial, Testing, Round:951
11:29:46:704 -> Serial, Testing, Round:952
11:29:46:704 -> Serial, Testing, Round:953
11:29:46:707 -> Serial, Testing, Round:954
11:29:46:713 -> Serial, Testing, Round:955
11:29:46:713 -> Serial, Testing, Round:956
11:29:46:715 -> Serial, Testing, Round:957
11:29:46:718 -> Serial, Testing, Round:958
11:29:46:721 -> Serial, Testing, Round:959
11:29:46:723 -> Serial, Testing, Round:960
11:29:46:723 -> Serial, Testing, Round:961
11:29:46:726 -> Serial, Testing, Round:962
11:29:46:729 -> Serial, Testing, Round:963
11:29:46:731 -> Serial, Testing, Round:964
11:29:46:734 -> Serial, Testing, Round:965
11:29:46:737 -> Serial, Testing, Round:966
11:29:46:740 -> Serial, Testing, Round:967
11:29:46:743 -> Serial, Testing, Round:968
11:29:46:743 -> Serial, Testing, Round:969
11:29:46:745 -> Serial, Testing, Round:970
11:29:46:748 -> Serial, Testing, Round:971
11:29:46:751 -> Serial, Testing, Round:972
11:29:46:754 -> Serial, Testing, Round:973
11:29:46:757 -> Serial, Testing, Round:974
11:29:46:760 -> Serial, Testing, Round:975
11:29:46:762 -> Serial, Testing, Round:976
11:29:46:762 -> Serial, Testing, Round:977
11:29:46:765 -> Serial, Testing, Round:978
11:29:46:768 -> Serial, Testing, Round:979
11:29:46:771 -> Serial, Testing, Round:980
11:29:46:773 -> Serial, Testing, Round:981
11:29:46:776 -> Serial, Testing, Round:982
11:29:46:779 -> Serial, Testing, Round:983
11:29:46:782 -> Serial, Testing, Round:984
11:29:46:782 -> Serial, Testing, Round:985
11:29:46:784 -> Serial, Testing, Round:986
11:29:46:787 -> Serial, Testing, Round:987
11:29:46:790 -> Serial, Testing, Round:988
11:29:46:793 -> Serial, Testing, Round:989
11:29:46:795 -> Serial, Testing, Round:990
11:29:46:798 -> Serial, Testing, Round:991
11:29:46:801 -> Serial, Testing, Round:992
11:29:46:801 -> Serial, Testing, Round:993
11:29:46:804 -> Serial, Testing, Round:994
11:29:46:807 -> Serial, Testing, Round:995
11:29:46:809 -> Serial, Testing, Round:996
11:29:46:812 -> Serial, Testing, Round:997
11:29:46:815 -> Serial, Testing, Round:998
11:29:46:819 -> Serial, Testing, Round:999
11:29:46:821 -> Serial, Testing, Round:1000
11:29:46:821 -> Serial, Testing, Round:1001
11:29:46:823 -> Serial, Testing, Round:1002
11:29:46:826 -> Serial, Testing, Round:1003
11:29:46:829 -> Serial, Testing, Round:1004
11:29:46:832 -> Serial, Testing, Round:1005
11:29:46:834 -> Serial, Testing, Round:1006
11:29:46:837 -> Serial, Testing, Round:1007
11:29:46:840 -> Serial, Testing, Round:1008
11:29:46:843 -> Serial, Testing, Round:1009
11:29:46:845 -> Serial, Testing, Round:1010
11:29:46:848 -> Serial, Testing, Round:1011
11:29:46:848 -> Serial, Testing, Round:1012
11:29:46:851 -> Serial, Testing, Round:1013
11:29:46:854 -> Serial, Testing, Round:1014
11:29:46:857 -> Serial, Testing, Round:1015
11:29:46:860 -> Serial, Testing, Round:1016
11:29:46:862 -> Serial, Testing, Round:1017
11:29:46:865 -> Serial, Testing, Round:1018
11:29:46:868 -> Serial, Testing, Round:1019
11:29:46:871 -> Serial, Testing, Round:1020
11:29:46:873 -> Serial, Testing, Round:1021
11:29:46:873 -> Serial, Testing, Round:1022
11:29:46:876 -> Serial, Testing, Round:1023
11:29:46:879 -> Serial, Testing, Round:1024
11:29:46:881 -> Serial, Testing, Round:1025
11:29:46:884 -> Serial, Testing, Round:1026
11:29:46:887 -> Serial, Testing, Round:1027
11:29:46:890 -> Serial, Testing, Round:1028
11:29:46:893 -> Serial, Testing, Round:1029
